metric_name,metric_value,assessment_date,country
Hospitalizations current situation - MAX,260.3884999999999,2020-09-23,SDN
NPI Hospitalizations projections 4w - MIN,210.623,2020-09-23,SDN
NPI Hospitalizations projections 4w - MAX,340.043,2020-09-23,SDN
NO NPI Hospitalizations projections 4w - MIN,227.8175,2020-09-23,SDN
NO NPI Hospitalizations projections 4w - MAX,363.08025,2020-09-23,SDN
Estimated doubling time NPI,254.0918861436388,2020-10-07,SDN
NPI Reff,1.019208603289889,2020-10-07,SDN
Estimated doubling time No NPI,63.31285103134618,2020-10-07,SDN
No NPI Reff,1.0784642702718634,2020-10-07,SDN
Current situation - WHO cases today,13668,2020-10-07,SDN
Current situation - WHO deaths today,836,2020-10-07,SDN
CFR,6.116476441322797,2020-10-07,SDN
Weekly new cases wrt last week - trend,-36.0,2020-10-07,SDN
Weekly new deaths wrt last week - trend,,2020-10-07,SDN
Estimated case reporting rate,3.4072760808605995,2020-10-07,SDN
NPI - projected reported cases in 4w - MIN,15224,2020-10-07,SDN
NPI - projected reported cases in 4w - MAX,15939,2020-10-07,SDN
NPI - projected TREND reported cases in 4w - MIN,5.59023442918574,2020-10-07,SDN
NPI - projected TREND reported cases in 4w - MAX,10.549313358302122,2020-10-07,SDN
NPI - projected reported deaths in 4w - MIN,969,2020-10-07,SDN
NPI - projected reported deaths in 4w - MAX,1041,2020-10-07,SDN
NPI - projected TREND reported deaths in 4w - MIN,6.95364238410596,2020-10-07,SDN
NPI - projected TREND reported deaths in 4w - MAX,14.90066225165563,2020-10-07,SDN
NO NPI - projected reported cases in 4w - MIN,19464,2020-10-07,SDN
NO NPI - projected reported cases in 4w - MAX,22368,2020-10-07,SDN
NO NPI - projected reported deaths in 4w - MIN,1187,2020-10-07,SDN
NO NPI - projected reported deaths in 4w - MAX,1375,2020-10-07,SDN
Maximum number of extra cases if NPIs are lifted,7144,2020-10-07,SDN
Maximum number of extra deaths if NPIs are lifted,406,2020-10-07,SDN
Current situation - latest date MPHO reported numbers,2020-09-05,2020-10-07,SDN
Current situation - latest MPHO cases,13437,2020-10-07,SDN
Current situation - latest MPHO deaths,822,2020-10-07,SDN
Hospitalizations current situation - MIN,457.44799999999975,2020-10-07,SDN
Hospitalizations current situation - MAX,708.4912499999997,2020-10-07,SDN
NPI Hospitalizations projections 4w - MIN,229.3855,2020-10-07,SDN
NPI Hospitalizations projections 4w - MAX,395.88349999999986,2020-10-07,SDN
NO NPI Hospitalizations projections 4w - MIN,1238.269,2020-10-07,SDN
NO NPI Hospitalizations projections 4w - MAX,2155.8189999999986,2020-10-07,SDN
